iter	RMSE
0	29035.59771
1	26330.68846
2	23904.94646
3	21722.45812
4	19779.31198
5	18039.68089
6	16483.4976
7	15104.56735
8	13861.22729
9	12758.0993
10	11772.33037
11	10907.68926
12	10120.4895
13	9446.513201
14	8841.796934
15	8287.224498
16	7810.485827
17	7391.394936
18	7025.276944
19	6704.546733
20	6412.580829
21	6161.223109
22	5944.440322
23	5750.019713
24	5579.12996
25	5416.703869
26	5285.422932
27	5163.101016
28	5053.309159
29	4956.868983
30	4869.752005
31	4799.967248
32	4730.471495
33	4664.422292
34	4605.958796
35	4557.23621
36	4507.111102
37	4467.935667
38	4426.364685
39	4387.015401
40	4339.568219
41	4300.410235
42	4272.287281
43	4240.390771
44	4220.99506
45	4186.211365
46	4152.94109
47	4137.507449
48	4107.036624
49	4081.279453
50	4062.530353
51	4028.980916
52	4011.49499
53	3998.198183
54	3970.661562
55	3956.690092
56	3934.891988
57	3919.802994
58	3899.860205
59	3877.772174
60	3865.09859
61	3848.600905
62	3824.800155
63	3807.081746
64	3796.555625
65	3775.503606
66	3762.315063
67	3747.871511
68	3734.925829
69	3719.051248
70	3703.513315
71	3693.017339
72	3681.679216
73	3663.715386
74	3654.000343
75	3645.432775
76	3635.175874
77	3622.192579
78	3617.28754
79	3613.004618
80	3601.57337
81	3586.717685
82	3578.072704
83	3570.778928
84	3557.975402
85	3546.672926
86	3536.838206
87	3524.055187
88	3518.34748
89	3511.296877
90	3501.189276
91	3493.472591
92	3486.23086
93	3478.868793
94	3470.296529
95	3456.634002
96	3450.909142
97	3442.481942
98	3436.49981
99	3429.940706
100	3425.743411
101	3420.830255
102	3413.25392
103	3406.118566
104	3396.446379
105	3391.95918
106	3385.753274
107	3380.340002
108	3368.992215
109	3364.623133
110	3359.242603
111	3352.411148
112	3347.112535
113	3340.805005
114	3333.97933
115	3329.083714
116	3324.661698
117	3317.155939
118	3311.914589
119	3302.912113
120	3298.849464
121	3290.534635
122	3286.35581
123	3282.930605
124	3277.039876
125	3270.078674
126	3265.797183
127	3258.509809
128	3252.959595
129	3248.668727
130	3241.429664
131	3237.243307
132	3230.235776
133	3221.917045
134	3218.913019
135	3215.416369
136	3211.507766
137	3204.740469
138	3198.303009
139	3194.980543
140	3192.737772
141	3184.997986
142	3182.242487
143	3179.161686
144	3176.398395
145	3170.385394
146	3168.067496
147	3164.030459
148	3161.374869
149	3154.908606
150	3151.412903
151	3146.51166
152	3142.864781
153	3139.305916
154	3134.384538
155	3128.575912
156	3118.669855
157	3114.120048
158	3110.759827
159	3107.112206
160	3104.294185
161	3100.744082
162	3096.206319
163	3092.014265
164	3089.895298
165	3087.570792
166	3085.382804
167	3078.866949
168	3076.86714
