iter	Passed	Remaining
0	610	487649
1	1006	401507
2	1464	388939
3	1779	354133
4	2097	333465
5	2482	328541
6	2803	317595
7	3110	307981
8	3658	321516
9	4034	318711
10	4647	333370
11	5007	328822
12	5501	333025
13	5865	329287
14	6179	323376
15	6566	321781
16	7107	327374
17	7423	322496
18	8021	329717
19	8586	334855
20	9466	351175
21	10032	354773
22	10684	360957
23	11340	366683
24	11885	368441
25	12300	366161
26	12720	364178
27	13230	364794
28	13766	365987
29	14182	364008
30	14742	365703
31	15154	363713
32	15758	366276
33	16341	368161
34	16749	366089
35	17392	369101
36	17740	365841
37	18086	362689
38	18458	360167
39	18785	356926
40	19142	354371
41	19500	351940
42	19808	348716
43	20160	346387
44	20469	343427
45	20841	341626
46	21198	339633
47	21535	337391
48	21909	335803
49	22384	335774
50	22767	334367
51	23376	336258
52	23881	336587
53	24335	336193
54	24835	336407
55	25212	334963
56	25638	334195
57	26052	333298
58	26633	334497
59	27186	335300
60	27740	336064
61	28255	336328
62	28642	335072
63	29009	333606
64	29374	332153
65	29774	331132
66	30125	329585
67	30416	327420
68	30914	327517
69	31397	327428
70	31859	327116
71	32294	326531
72	32689	325551
73	32971	323473
74	33281	321717
75	33568	319780
76	33853	317868
77	34178	316367
78	34484	314729
79	34772	312956
80	35137	311900
81	35492	310779
82	35813	309378
83	36141	308066
84	36512	307131
85	36845	305903
86	37148	304449
87	37434	302877
88	37743	301523
89	38016	299906
90	38286	298300
91	38548	296657
92	38833	295217
93	39124	293853
94	39378	292231
95	39682	291008
96	39950	289536
97	40236	288222
98	40506	286816
99	40779	285459
100	41098	284432
101	41360	283034
102	41674	282009
103	41973	280900
104	42280	279857
105	42595	278881
106	42895	277818
107	43221	276938
108	43547	276066
109	43877	275231
110	44155	274081
111	44485	273270
112	44750	272065
113	45025	270945
114	45280	269712
115	45527	268452
116	45767	267174
117	46047	266138
118	46285	264877
119	46561	263851
120	46801	262628
121	47075	261617
122	47372	260739
123	47619	259600
124	47902	258675
125	48174	257696
126	48464	256822
127	48745	255916
128	48991	254831
129	49272	253941
130	49543	253012
131	49826	252153
132	50330	252409
133	50714	252058
134	51111	251772
135	51480	251344
136	51894	251138
137	52353	251145
138	52772	250956
139	53133	250488
140	53551	250286
141	53966	250071
142	54328	249609
143	54732	249337
144	55107	248934
145	55538	248783
146	55916	248390
147	56315	248094
148	56743	247917
149	57118	247511
150	57535	247286
151	57911	246886
152	58282	246460
153	58689	246192
154	59136	246085
155	59580	245962
156	60064	245996
157	60436	245569
158	60834	245252
159	61212	244848
160	61614	244545
161	62048	244364
162	62433	243989
163	62859	243771
164	63219	243299
165	63629	243018
166	63996	242573
167	64414	242320
168	64819	242017
169	65225	241716
170	65661	241525
171	66088	241299
172	66476	240930
173	66842	240477
174	67269	240246
175	67627	239770
176	68029	239447
177	68403	239029
178	68845	238842
179	69260	238563
180	69664	238246
181	70042	237837
182	70410	237395
183	70889	237325
184	71304	237040
185	71683	236633
186	72081	236289
187	72465	235897
188	72909	235703
189	73301	235337
190	73715	235041
191	74102	234658
192	74547	234458
193	74961	234157
194	75378	233867
195	75793	233567
196	76170	233151
197	76647	233040
198	77040	232670
199	77452	232357
200	77847	231992
201	78236	231609
202	78685	231403
203	79077	231029
204	79561	230923
205	79956	230554
206	80344	230164
207	80755	229841
208	81259	229782
209	81661	229429
210	82032	228992
211	82598	229093
212	83085	228971
213	83513	228685
214	83897	228278
215	84284	227879
216	84870	228017
217	85327	227799
218	85792	227605
219	86175	227190
220	86541	226731
221	86892	226232
222	87137	225464
223	87400	224743
224	87677	224065
225	88006	223519
226	88314	222926
227	88594	222264
228	88875	221605
229	89202	221067
230	89520	220508
231	89910	220124
232	90300	219745
233	90622	219197
234	90942	218650
235	91276	218134
236	91629	217667
237	91985	217209
238	92448	217003
239	93065	217153
240	93574	217045
241	94118	217016
242	94519	216656
243	94950	216363
244	95395	216100
245	95879	215924
246	96370	215760
247	96824	215511
248	97263	215229
249	97719	214983
250	98237	214870
251	98630	214482
252	99099	214257
253	99482	213847
254	99802	213303
255	100144	212807
256	100515	212374
257	100836	211835
258	101146	211274
259	101499	210807
260	101815	210262
261	102123	209704
262	102417	209118
263	102745	208605
264	103032	208008
265	103327	207431
266	103619	206851
267	103947	206343
268	104251	205791
269	104534	205197
270	104861	204692
271	105199	204211
272	105522	203700
273	105864	203228
274	106162	202673
275	106498	202192
276	106855	201751
277	107149	201195
278	107501	200747
279	107869	200329
280	108209	199860
281	108565	199422
282	108930	199000
283	109222	198446
284	109541	197942
285	109831	197388
286	110139	196869
287	110437	196332
288	110761	195843
289	111063	195317
290	111353	194773
291	111693	194316
292	111984	193774
293	112279	193243
294	112573	192710
295	112891	192221
296	113247	191795
297	113550	191283
298	113902	190852
299	114205	190341
300	114524	189860
301	114810	189323
302	115104	188802
303	115417	188312
304	115709	187790
305	116066	187374
306	116416	186948
307	116716	186443
308	117073	186029
309	117371	185522
310	117668	185016
311	117984	184539
312	118280	184033
313	118581	183537
314	118921	183101
315	119231	182621
316	119519	182107
317	119829	181629
318	120129	181135
319	120428	180642
320	120743	180174
321	121059	179709
322	121364	179228
323	121657	178731
324	121960	178250
325	122261	177766
326	122568	177292
327	122930	176899
328	123285	176496
329	123565	175987
330	123887	175537
331	124171	175037
332	124520	174627
333	124858	174203
334	125146	173710
335	125449	173240
336	125738	172750
337	126067	172317
338	126380	171863
339	126681	171392
340	126980	170920
341	127276	170446
342	127611	170025
343	127890	169528
344	128246	169136
345	128554	168681
346	128876	168245
347	129185	167792
348	129528	167384
349	129837	166933
350	130168	166511
351	130616	166239
352	131043	165939
353	131397	165545
354	131738	165137
355	132093	164746
356	132391	164284
357	132684	163817
358	133028	163414
359	133350	162983
360	133638	162513
361	133961	162085
362	134303	161682
363	134607	161233
364	134984	160871
365	135365	160515
366	135822	160248
367	136217	159907
368	136691	159658
369	137057	159282
370	137427	158911
371	137796	158540
372	138201	158208
373	138652	157930
374	139083	157628
375	139479	157285
376	139885	156953
377	140336	156672
378	140724	156319
379	141093	155945
380	141480	155591
381	141853	155221
382	142218	154843
383	142596	154479
384	143012	154156
385	143378	153779
386	143798	153459
387	144236	153158
388	144637	152817
389	145012	152449
390	145461	152157
391	145841	151794
392	146330	151543
393	146711	151179
394	147075	150799
395	147491	150471
396	147860	150094
397	148223	149713
398	148605	149350
399	148966	148966
400	149329	148585
401	149715	148225
402	150104	147869
403	150504	147524
404	150905	147179
405	151275	146803
406	151782	146561
407	152148	146181
408	152516	145804
409	152965	145503
410	153324	145117
411	153701	144748
412	154100	144399
413	154474	144027
414	154940	143739
415	155315	143368
416	155703	143008
417	156091	142648
418	156471	142281
419	156875	141934
420	157315	141620
421	157714	141270
422	158086	140894
423	158600	140645
424	159002	140296
425	159380	139925
426	159783	139576
427	160158	139202
428	160540	138836
429	160949	138491
430	161327	138120
431	161828	137853
432	162253	137521
433	162643	137159
434	163020	136787
435	163435	136446
436	163878	136128
437	164289	135782
438	164673	135414
439	165150	135122
440	165674	134869
441	166134	134561
442	166563	134228
443	166999	133900
444	167367	133518
445	167802	133188
446	168190	132821
447	168769	132604
448	169145	132227
449	169535	131861
450	169957	131518
451	170381	131178
452	170837	130861
453	171207	130479
454	171640	130144
455	172031	129777
456	172415	129405
457	172852	129073
458	173261	128719
459	173726	128406
460	174101	128026
461	174477	127647
462	174867	127279
463	175321	126957
464	175721	126595
465	176095	126214
466	176492	125849
467	176883	125481
468	177310	125138
469	177681	124755
470	178056	124374
471	178421	123987
472	178867	123657
473	179285	123306
474	179668	122930
475	180055	122558
476	180418	122170
477	180795	121791
478	181155	121400
479	181593	121062
480	182004	120705
481	182421	120352
482	182815	119984
483	183201	119611
484	183571	119227
485	183968	118860
486	184329	118470
487	184737	118110
488	185101	117723
489	185469	117337
490	185855	116964
491	186234	116585
492	186594	116195
493	186985	115825
494	187376	115454
495	187752	115074
496	188121	114689
497	188509	114317
498	188880	113934
499	189283	113570
500	189654	113187
501	190054	112821
502	190416	112433
503	190788	112050
504	191158	111666
