iter	Passed	Remaining
0	295	236012
1	517	206433
2	729	193828
3	945	188253
4	1144	182030
5	1365	180748
6	1565	177350
7	1766	174851
8	1984	174418
9	2177	172014
10	2396	171890
11	2584	169737
12	2808	170002
13	2994	168135
14	3167	165762
15	3385	165907
16	3614	166458
17	3785	164455
18	3975	163426
19	4155	162064
20	4379	162442
21	4555	161086
22	4731	159828
23	4939	159698
24	5153	159765
25	5389	160454
26	5595	160185
27	5801	159960
28	6012	159853
29	6200	159157
30	6406	158925
31	6601	158438
32	6816	158435
33	7019	158148
34	7195	157281
35	7376	156543
36	7552	155735
37	7721	154842
38	7914	154441
39	8087	153653
40	8252	152767
41	8436	152253
42	8614	151649
43	8802	151243
44	8968	150478
45	9154	150051
46	9326	149416
47	9498	148807
48	9687	148478
49	9894	148413
50	10084	148099
51	10284	147944
52	10470	147577
53	10664	147327
54	10860	147111
55	11038	146651
56	11226	146337
57	11405	145915
58	11576	145391
59	11762	145074
60	11935	144597
61	12143	144549
62	12329	144232
63	12515	143926
64	12692	143528
65	12896	143422
66	13119	143533
67	13292	143088
68	13474	142747
69	13669	142557
70	13854	142249
71	14100	142572
72	14291	142332
73	14488	142147
74	14708	142177
75	14894	141892
76	15080	141604
77	15271	141359
78	15455	141057
79	15630	140674
80	15813	140366
81	16018	140263
82	16216	140084
83	16404	139828
84	16617	139786
85	16801	139489
86	16989	139236
87	17178	138992
88	17411	139097
89	17602	138860
90	17797	138666
91	17985	138407
92	18185	138251
93	18386	138096
94	18563	137758
95	18739	137422
96	18903	137003
97	19083	136696
98	19266	136422
99	19434	136038
100	19631	135865
101	19800	135495
102	19972	135152
103	20146	134826
104	20317	134483
105	20484	134114
106	20644	133705
107	20816	133380
108	20996	133105
109	21184	132885
110	21363	132608
111	21563	132461
112	21729	132107
113	21896	131760
114	22057	131386
115	22224	131049
116	22383	130667
117	22557	130371
118	22719	130014
119	22898	129759
120	23059	129398
121	23234	129120
122	23424	128927
123	23594	128629
124	23789	128464
125	23956	128149
126	24123	127835
127	24298	127567
128	24463	127246
129	24623	126904
130	24803	126669
131	24977	126403
132	25152	126138
133	25315	125822
134	25484	125534
135	25649	125227
136	25825	124980
137	26016	124803
138	26204	124612
139	26363	124285
140	26543	124055
141	26725	123840
142	26885	123523
143	27061	123281
144	27222	122968
145	27401	122742
146	27562	122439
147	27738	122201
148	27932	122039
149	28095	121748
150	28275	121528
151	28443	121260
152	28605	120966
153	28789	120768
154	28951	120477
155	29147	120328
156	29368	120279
157	29541	120037
158	29729	119854
159	29907	119628
160	30094	119441
161	30289	119289
162	30464	119054
163	30669	118939
164	30840	118689
165	31032	118520
166	31213	118311
167	31412	118170
168	31606	118010
169	31797	117838
170	32005	117726
171	32204	117583
172	32383	117366
173	32555	117124
174	32752	116973
175	32925	116734
176	33112	116547
177	33286	116315
178	33498	116213
179	33689	116041
180	33882	115873
181	34059	115654
182	34233	115419
183	34454	115347
184	34644	115168
185	34822	114951
186	35004	114746
187	35174	114504
188	35377	114369
189	35557	114156
190	35741	113960
191	35919	113746
192	36117	113593
193	36287	113353
194	36479	113179
195	36661	112978
196	36834	112748
197	37052	112654
198	37230	112440
199	37415	112246
200	37591	112027
201	37765	111802
202	37942	111584
203	38118	111366
204	38287	111127
205	38462	110905
206	38638	110690
207	38824	110501
208	39022	110345
209	39211	110164
210	39388	109952
211	39592	109812
212	39794	109667
213	39985	109493
214	40165	109286
215	40341	109071
216	40526	108880
217	40719	108710
218	40922	108567
219	41094	108340
220	41274	108134
221	41455	107932
222	41644	107753
223	41814	107523
224	41986	107299
225	42190	107155
226	42379	106975
227	42629	106947
228	42895	106956
229	43257	107203
230	43532	107229
231	43755	107124
232	43990	107050
233	44198	106907
234	44416	106789
235	44624	106644
236	44809	106446
237	44991	106239
238	45183	106057
239	45391	105914
240	45575	105713
241	45790	105583
242	45977	105388
243	46158	105181
244	46326	104944
245	46495	104709
246	46679	104508
247	46868	104320
248	47042	104098
249	47215	103874
250	47430	103741
251	47612	103539
252	47830	103411
253	48024	103232
254	48218	103055
255	48400	102851
256	48621	102728
257	48794	102507
258	48995	102341
259	49200	102185
260	49379	101975
261	49571	101791
262	49753	101588
263	49952	101418
264	50131	101209
265	50314	101006
266	50491	100794
267	50678	100599
268	50866	100409
269	51046	100202
270	51240	100023
271	51439	99852
272	51624	99656
273	51817	99474
274	51996	99266
275	52220	99143
276	52413	98960
277	52578	98725
278	52779	98559
279	52985	98401
280	53169	98202
281	53350	97997
282	53548	97824
283	53748	97654
284	53923	97440
285	54089	97210
286	54262	96992
287	54432	96769
288	54619	96577
289	54794	96362
290	54965	96142
291	55165	95973
292	55333	95747
293	55508	95535
294	55686	95327
295	55892	95168
296	56107	95023
297	56287	94820
298	56499	94670
299	56680	94467
300	56876	94289
301	57038	94057
302	57207	93834
303	57391	93639
304	57555	93410
305	57753	93235
306	57947	93056
307	58128	92854
308	58327	92682
