iter	RMSE
0	684420.566
1	659973.3696
2	636634.0303
3	613656.4553
4	591170.5773
5	572388.5466
6	553645.0519
7	534784.4007
8	517225.2514
9	501340.8721
10	485425.2218
11	470052.0596
12	455666.3652
13	441755.5664
14	428997.0667
15	416804.9517
16	403493.2992
17	389775.8401
18	378508.5584
19	367433.6746
20	355991.2942
21	346392.9642
22	336514.5967
23	327552.5147
24	319246.2335
25	310642.2227
26	303353.3644
27	295962.9219
28	288348.0962
29	280690.5731
30	272922.8478
31	266273.9882
32	259956.3348
33	252579.3567
34	246215.771
35	240811.202
36	235277.8973
37	229602.4968
38	224699.5799
39	219989.3291
40	215532.8522
41	210262.821
42	205680.3431
43	201467.3066
44	197713.464
45	193636.2934
46	189853.3551
47	186375.3199
48	182545.2059
49	179530.8355
50	176406.9081
51	173641.5595
52	170152.7209
53	167273.1428
54	163970.246
55	161225.8412
56	158308.6789
57	155495.8172
58	153252.6574
59	150700.3654
60	148311.59
61	145884.3197
62	143962.209
63	141812.8862
64	139746.5831
65	138010.5074
66	136000.117
67	134263.4865
68	132693.2728
69	131039.0556
70	129527.8607
71	128033.9184
72	126368.1453
73	124902.8773
74	123744.719
75	122423.1573
76	120971.6759
77	119676.3642
78	118459.0385
79	117249.2082
80	115968.529
81	114610.0794
82	113417.4805
83	112156.9356
84	111200.1146
85	110160.2954
86	108972.1141
87	107950.567
88	106970.7986
89	106029.0959
90	105261.3389
91	104341.4546
92	103429.2329
93	102637.3155
94	101873.5033
95	101114.0539
96	100353.5204
97	99554.79971
98	98745.77573
99	98111.42077
100	97521.03824
101	96725.85505
102	96108.2202
103	95422.85526
104	94870.82186
105	94334.97281
106	93802.23938
107	93262.8935
108	92856.53343
109	92303.95923
110	91773.4136
111	91372.145
112	90823.6073
113	90221.21071
114	89767.75686
115	89274.06279
116	88773.94545
117	88207.15011
118	87802.42547
119	87413.98766
120	86895.85432
121	86427.66514
122	86027.60176
123	85628.70506
124	85204.76325
125	84752.78162
126	84519.36887
127	84095.96541
128	83691.6554
129	83283.18285
130	82902.15491
131	82599.24573
132	82174.78634
133	81744.3088
134	81456.1801
135	81058.01654
136	80782.24078
137	80413.16342
138	80126.33996
139	79732.57624
140	79384.46476
141	78865.49298
142	78530.11375
143	78092.96794
144	77789.05401
145	77475.06468
146	77213.96798
147	76792.37515
148	76545.95892
149	76295.53943
150	76059.55182
151	75719.93253
152	75401.38487
153	75188.83861
154	74883.88573
155	74581.0928
156	74365.30495
157	74043.42977
158	73645.05869
159	73401.56992
160	73177.44162
161	72958.32717
162	72565.0151
163	72273.57789
164	72030.94648
165	71839.92032
166	71666.80505
167	71478.91728
168	71259.71789
169	70992.17873
170	70722.72647
171	70455.3769
172	70216.53291
173	69986.67019
174	69756.80912
175	69600.73368
176	69381.50036
177	69109.52901
178	68973.45003
179	68762.75216
180	68500.52699
181	68200.42811
182	68026.98637
183	67860.71664
184	67668.78005
185	67365.74885
186	67193.90061
187	67057.62604
188	66776.86639
189	66591.09843
190	66328.58475
191	66112.77081
192	65938.50869
193	65698.71566
194	65433.74812
195	65227.89543
196	65037.00109
197	64777.78897
198	64580.6491
199	64381.87862
200	64208.68078
201	64003.76528
202	63848.31414
203	63647.25704
204	63445.48043
205	63297.4164
206	63169.80978
207	62977.86805
208	62703.46733
209	62577.33849
210	62434.48483
211	62253.0006
212	62162.19826
213	61899.24937
214	61734.41858
215	61532.54313
216	61408.01396
217	61227.53312
218	61017.91971
219	60851.53585
220	60696.13335
221	60585.46726
222	60419.8337
223	60298.18516
224	60164.17461
225	59993.16922
226	59882.86465
227	59695.82357
228	59466.6253
229	59325.12849
230	59201.06248
231	59083.27913
232	58959.30755
233	58764.16471
234	58626.34626
235	58475.49986
236	58337.34425
237	58216.1773
238	58081.03471
239	57957.89898
240	57834.8627
241	57690.71078
242	57559.70388
243	57417.20966
244	57341.50562
245	57204.09427
246	57139.02613
247	56989.38071
248	56914.72994
249	56777.22319
250	56631.62714
251	56523.49859
252	56357.5992
253	56271.91468
254	56165.79688
255	56078.33448
256	55979.17192
257	55828.75556
258	55672.17622
259	55478.07408
260	55385.24265
261	55223.71055
262	55149.43535
263	55094.96972
264	54947.31638
265	54829.04651
266	54693.6716
267	54554.72431
268	54411.20271
269	54312.27168
270	54175.88895
271	54099.00875
272	53955.63501
273	53846.09148
274	53673.77084
275	53607.85209
276	53497.45645
277	53419.2557
278	53296.59793
279	53121.18097
280	52985.32383
281	52889.95726
282	52805.62446
283	52699.90222
284	52595.84409
285	52523.5853
286	52428.25354
287	52337.37671
288	52288.84384
289	52200.34831
290	52117.93116
291	52044.53294
292	51982.23735
293	51913.37491
294	51876.24089
295	51833.01271
296	51718.22266
297	51548.76502
298	51413.83552
299	51266.47958
300	51160.60176
301	51069.86741
302	50980.84488
303	50881.75819
304	50843.37292
305	50788.66595
306	50644.81232
307	50590.48479
308	50471.24351
309	50409.56009
310	50326.01372
311	50238.52647
312	50165.86746
313	50095.68696
314	49986.95598
315	49893.63376
316	49810.46742
317	49701.42154
318	49589.26793
319	49485.98759
320	49418.63899
321	49364.12452
322	49298.88627
323	49222.89072
324	49139.15216
325	49092.18537
326	49003.60591
327	48894.98427
328	48805.97155
329	48685.59098
330	48629.5658
331	48536.43319
332	48404.3132
333	48334.28274
334	48265.18025
335	48189.65988
336	48065.33843
337	47972.80268
338	47844.44173
339	47756.85423
340	47705.41889
341	47596.50853
342	47499.91372
343	47396.5142
344	47331.18249
345	47212.50569
346	47145.20094
347	47082.24888
348	47029.0621
349	46939.94248
350	46855.90862
351	46810.38485
352	46735.98813
353	46676.84272
354	46571.24269
355	46463.01943
356	46422.83458
357	46349.89268
358	46277.19286
359	46194.72376
360	46084.62432
361	46013.89481
362	45960.62258
363	45878.36389
364	45821.1484
365	45752.92101
366	45706.0891
367	45624.38859
368	45583.78931
369	45490.70174
370	45393.39849
371	45329.54061
372	45279.43419
373	45194.80104
374	45124.72848
375	45084.68243
376	45005.57671
377	44939.22701
378	44843.03237
379	44783.46389
380	44730.78192
381	44648.24063
382	44610.44484
383	44570.46539
384	44489.4542
385	44411.97327
386	44332.79645
387	44257.66115
388	44185.99124
389	44131.47493
390	44078.47968
391	43990.73441
392	43966.15334
393	43920.60746
394	43856.93567
395	43787.92464
396	43710.38909
397	43646.58007
398	43610.92488
399	43573.54966
400	43498.6388
401	43436.16704
402	43390.19422
403	43318.59297
404	43275.94204
405	43206.63677
406	43115.61737
407	43058.34928
408	43001.43127
409	42946.12545
410	42893.81507
411	42844.34465
412	42807.53242
413	42734.15499
414	42697.4805
415	42655.37436
416	42614.66803
417	42571.01216
418	42501.2581
419	42449.03763
420	42394.4551
421	42319.10719
422	42243.02228
423	42178.47262
424	42140.12467
425	42090.25097
426	42048.87226
427	42006.90311
428	41926.12258
429	41863.7248
430	41842.73772
431	41806.83525
432	41731.6912
433	41667.64569
434	41631.40296
435	41587.42788
436	41526.78852
437	41499.23007
438	41458.9637
439	41381.26243
440	41347.92708
441	41296.35565
442	41246.79688
443	41178.11581
444	41134.52132
445	41090.03214
446	41044.79174
447	41007.31291
448	40966.29109
449	40935.47009
450	40874.79252
451	40840.64436
452	40771.8102
453	40723.62721
454	40679.45652
455	40610.31472
456	40536.61924
457	40476.40602
458	40447.49051
459	40410.95183
460	40353.4452
461	40295.61365
462	40260.68381
463	40209.07782
464	40180.73299
465	40127.87468
466	40086.69054
467	40033.96765
468	39992.08964
469	39953.57097
470	39906.53319
471	39879.62871
472	39837.81157
473	39774.88796
474	39743.88418
475	39683.00656
476	39647.95275
477	39582.23167
478	39544.16731
479	39503.02958
480	39461.84449
481	39401.90043
482	39333.28918
483	39308.59425
484	39269.43155
485	39247.9346
486	39214.46657
487	39150.83722
488	39136.55052
489	39097.38845
490	39034.4273
491	38999.36699
492	38981.08869
493	38932.8584
494	38886.77131
495	38839.00281
496	38787.73693
497	38732.52209
498	38694.98313
499	38636.16815
500	38588.23022
501	38561.17512
502	38516.99332
503	38494.23362
504	38436.35851
505	38377.34411
506	38347.30085
507	38312.05231
508	38255.78306
509	38223.18949
510	38169.92045
511	38127.03114
512	38091.93086
513	38032.3112
514	37986.31539
515	37939.09675
516	37899.31549
517	37863.13709
518	37823.12244
519	37806.10862
520	37746.79027
521	37695.74246
522	37643.59622
523	37603.23003
524	37556.08491
525	37500.90557
526	37470.71383
527	37453.13833
528	37405.52465
529	37363.05935
530	37350.55971
531	37313.52313
532	37260.84448
533	37223.517
534	37169.4319
535	37138.4563
536	37087.5197
537	37051.04394
538	37006.15522
539	36960.59257
540	36929.84204
541	36885.08274
542	36826.03572
543	36774.48224
544	36743.56023
545	36698.66185
546	36674.50297
547	36628.40081
548	36605.26984
549	36571.53544
550	36543.63966
551	36504.99778
552	36465.35344
553	36430.04596
554	36390.30785
555	36359.80316
556	36310.73298
557	36269.47296
558	36224.06161
559	36196.15248
560	36168.02246
561	36139.2955
562	36110.90338
563	36068.6819
564	36031.49548
565	35990.74775
566	35946.49583
567	35911.79302
568	35880.23988
569	35844.88772
570	35820.64477
571	35788.16017
572	35745.31463
573	35698.98649
574	35658.77791
575	35627.01539
576	35578.08203
577	35541.66871
578	35500.72476
579	35475.1749
580	35431.28341
581	35409.44553
582	35374.92752
583	35336.47803
584	35311.93864
585	35282.36868
586	35260.77762
587	35240.32296
588	35221.18141
589	35184.84957
590	35141.91421
591	35111.62656
592	35069.28159
593	35029.40485
594	34984.53701
595	34947.99965
596	34929.64884
597	34890.27029
598	34860.5157
599	34823.60155
600	34808.82513
601	34767.53914
602	34752.79045
603	34718.26716
604	34684.71863
605	34666.69895
606	34632.94706
607	34595.53263
608	34558.02822
609	34528.12846
610	34500.08558
611	34462.2585
612	34426.76606
613	34389.54003
614	34362.81558
615	34330.5884
616	34313.08515
617	34277.26986
618	34255.00427
619	34241.87484
620	34198.75087
621	34181.69415
622	34155.14805
623	34113.48474
624	34088.33604
625	34068.12805
626	34047.32733
627	34015.07386
628	33983.75135
629	33941.65035
630	33916.86229
631	33891.24445
632	33878.51334
633	33863.36843
634	33828.96281
635	33790.89737
636	33772.35315
637	33735.94312
638	33700.03713
639	33663.64825
640	33623.21244
641	33598.3363
642	33568.86451
643	33532.80081
644	33494.2774
645	33455.07973
646	33426.52733
647	33395.38207
648	33373.95462
649	33332.76674
650	33299.3963
651	33266.92338
652	33240.76255
653	33218.42536
654	33187.48849
655	33151.32294
656	33119.89969
657	33101.92411
658	33073.82889
659	33051.07733
660	33030.9656
661	33001.84382
662	32962.61229
663	32940.32656
664	32919.08466
665	32884.25893
666	32856.56126
667	32842.61286
668	32830.3603
669	32819.75327
670	32788.00789
671	32772.63373
672	32757.8986
673	32728.03838
674	32713.25124
675	32691.79629
676	32656.18014
677	32642.24549
678	32633.09678
679	32594.94701
680	32566.176
681	32536.45895
682	32501.39098
683	32480.02476
684	32466.67579
685	32454.41115
686	32429.89345
687	32388.67961
688	32369.90025
689	32342.22571
690	32312.55926
691	32295.75163
692	32264.62749
693	32228.66598
694	32200.27356
695	32170.02951
696	32157.86151
697	32131.34262
698	32120.61148
699	32093.08547
700	32065.41486
701	32026.53559
702	31993.51795
703	31971.75611
704	31951.85699
705	31940.3125
706	31912.38146
707	31895.21166
708	31884.48721
709	31846.0941
710	31830.12123
711	31807.04049
712	31774.9963
713	31752.37497
714	31728.36945
715	31703.31193
716	31683.23155
717	31664.26081
718	31635.02303
719	31607.6743
720	31573.79254
721	31546.44452
722	31535.53215
723	31518.11809
724	31497.01676
725	31461.27151
726	31434.82144
727	31413.01496
728	31386.10062
729	31363.11189
730	31331.44736
731	31313.56446
732	31290.61692
733	31264.63194
734	31237.79043
735	31215.50914
736	31188.26534
737	31173.56077
738	31156.00261
739	31130.81523
740	31106.39412
741	31084.82212
742	31068.45333
743	31038.94732
744	31013.85521
745	30995.72278
746	30979.76524
747	30958.67006
