iter	Passed	Remaining
0	53	26595
1	58	14544
2	65	10821
3	70	8703
4	76	7584
5	80	6602
6	83	5848
7	88	5451
8	93	5121
9	100	4923
10	107	4789
11	110	4513
12	114	4283
13	118	4104
14	123	4006
15	128	3874
16	130	3717
17	140	3758
18	144	3665
19	150	3604
20	157	3590
21	162	3522
22	167	3472
23	170	3376
24	173	3287
25	175	3207
26	178	3134
27	184	3109
28	190	3099
29	196	3079
30	202	3059
31	205	2999
32	207	2942
33	211	2894
34	217	2883
35	220	2838
36	223	2795
37	227	2767
38	235	2780
39	238	2745
40	242	2709
41	250	2726
42	254	2705
43	260	2702
44	266	2692
45	270	2669
46	280	2707
47	288	2713
48	297	2735
49	302	2725
50	312	2751
51	317	2732
52	323	2724
53	327	2708
54	331	2684
55	335	2659
56	342	2658
57	349	2661
58	356	2663
59	361	2654
60	371	2672
61	381	2693
62	391	2716
63	397	2711
64	404	2707
65	412	2709
66	423	2739
67	428	2724
68	435	2722
69	447	2748
70	459	2775
71	470	2794
72	475	2782
73	485	2793
74	491	2787
75	503	2806
76	516	2835
77	521	2821
78	538	2868
79	551	2893
80	556	2876
81	564	2876
82	571	2871
83	584	2892
84	593	2895
85	601	2893
86	610	2896
87	620	2904
88	635	2934
89	647	2948
90	662	2977
91	669	2969
92	678	2967
93	687	2969
94	700	2986
95	708	2981
96	727	3022
97	742	3044
98	761	3084
99	776	3105
100	784	3100
101	797	3113
102	805	3105
103	814	3100
104	821	3088
105	833	3097
106	846	3110
107	857	3113
108	872	3128
109	887	3147
110	895	3136
111	906	3140
112	914	3133
113	920	3117
114	925	3097
115	931	3083
116	934	3060
117	938	3037
118	946	3029
119	955	3025
120	962	3014
121	970	3008
122	977	2996
123	985	2987
124	991	2973
125	998	2962
126	1002	2943
127	1005	2921
128	1012	2911
129	1016	2894
130	1019	2873
131	1029	2869
132	1032	2850
133	1037	2833
134	1042	2818
135	1062	2843
136	1065	2823
137	1068	2803
138	1074	2789
139	1078	2773
140	1082	2755
141	1086	2738
142	1095	2734
143	1099	2717
144	1103	2702
145	1112	2696
146	1116	2681
147	1120	2665
148	1124	2649
149	1127	2631
150	1134	2620
151	1143	2617
152	1147	2603
153	1153	2592
154	1158	2579
155	1164	2567
156	1168	2553
157	1174	2542
158	1180	2531
159	1186	2521
160	1190	2507
161	1194	2491
162	1199	2480
163	1207	2473
164	1211	2458
165	1215	2445
166	1221	2436
167	1226	2423
168	1229	2408
169	1235	2397
170	1239	2384
171	1242	2369
172	1245	2354
173	1253	2347
174	1256	2333
175	1259	2317
176	1263	2304
177	1268	2294
178	1271	2280
179	1275	2266
180	1280	2257
181	1286	2247
182	1289	2234
183	1294	2223
184	1301	2215
185	1304	2202
186	1307	2188
187	1315	2183
188	1318	2169
189	1323	2159
190	1333	2157
191	1337	2145
192	1341	2134
193	1345	2122
194	1352	2114
195	1355	2102
196	1362	2094
197	1365	2082
198	1368	2070
199	1375	2062
200	1381	2054
201	1384	2042
202	1391	2036
203	1397	2028
204	1406	2023
205	1411	2015
206	1415	2003
207	1424	1999
208	1428	1988
209	1431	1977
210	1435	1966
211	1442	1960
212	1446	1949
213	1451	1940
214	1457	1931
215	1460	1920
216	1468	1915
217	1473	1906
218	1477	1895
219	1481	1886
220	1488	1879
221	1492	1869
222	1497	1859
223	1509	1859
224	1513	1849
225	1520	1843
226	1523	1832
227	1530	1825
228	1535	1817
229	1538	1806
230	1541	1795
231	1550	1791
232	1556	1783
233	1560	1774
234	1566	1766
235	1569	1755
236	1589	1763
237	1594	1754
238	1599	1746
239	1603	1736
240	1606	1726
241	1613	1720
242	1616	1710
243	1619	1699
244	1622	1688
245	1628	1681
246	1631	1671
247	1635	1661
248	1638	1651
249	1643	1643
250	1646	1633
251	1649	1623
252	1652	1613
253	1655	1603
254	1660	1595
255	1663	1585
256	1667	1576
257	1670	1566
258	1675	1559
259	1679	1549
260	1682	1540
261	1686	1532
262	1692	1524
263	1695	1515
264	1698	1506
265	1701	1496
266	1704	1487
267	1708	1478
268	1711	1469
269	1714	1460
270	1717	1451
271	1720	1442
272	1725	1434
273	1728	1425
274	1731	1416
275	1734	1407
276	1739	1400
277	1742	1391
278	1746	1383
279	1749	1374
280	1755	1368
281	1759	1360
282	1762	1351
283	1766	1343
284	1772	1337
285	1776	1328
286	1781	1322
287	1787	1315
288	1790	1307
289	1794	1299
290	1799	1292
291	1803	1284
292	1807	1276
293	1810	1268
294	1819	1264
295	1823	1256
296	1829	1250
297	1837	1245
298	1841	1238
299	1844	1229
300	1849	1222
301	1855	1216
302	1859	1208
303	1866	1203
304	1870	1195
305	1877	1190
306	1884	1184
307	1888	1177
308	1891	1169
309	1897	1162
310	1902	1156
311	1908	1150
312	1915	1144
313	1918	1136
314	1922	1129
315	1930	1124
316	1934	1116
317	1937	1109
318	1941	1101
319	1946	1094
320	1949	1086
321	1952	1079
322	1955	1071
323	1961	1065
324	1964	1057
325	1967	1050
326	1972	1043
327	1977	1037
328	1980	1029
329	1983	1022
330	1986	1014
331	1991	1007
332	1995	1000
333	1999	993
334	2002	986
335	2008	980
336	2012	973
337	2015	966
338	2021	959
339	2025	953
340	2028	945
341	2031	938
342	2035	931
343	2040	925
344	2045	919
345	2049	912
346	2058	907
347	2064	901
348	2070	895
349	2074	888
350	2078	882
351	2084	876
352	2088	869
353	2092	863
354	2096	856
355	2103	850
356	2109	845
357	2118	840
358	2125	834
359	2128	827
360	2133	821
361	2136	814
362	2143	809
363	2167	809
364	2171	803
365	2174	796
366	2181	790
