City,Population
Abu Dhabi,1590000
Amsterdam,921000
Bangkok,11230000
Barcelona,1620000
Beijing,21890000
Berlin,3755000
Bogota,8050000
Bondi,22750
Brisbane,2630000
Brooklyn,2560000
Burnaby,250000
Chengdu,16500000
Chicago,2665000
Cheltenham,118800
Cologne,1085000
Costa Mesa,110000
Cupertino,60000
Dubai,3600000
Fukuoka,1640000
Glendale,189000
Hong Kong,7330000
Honolulu,345000
Kumamoto,733000
Kyoto,1445000
London,8980000
Los Angeles,3820000
Macau,685000
Melbourne,5230000
Mexico City,22150000
Milan,1370000
Montreal,1780000
Munich,1485000
New York,8258000
Ottawa,1015000
Paris,2100000
Philadelphia,1550000
Portland,635000
Rome,2860000
San Francisco,808000
Seoul,9650000
Shanghai,29210000
Singapore,5920000
Sydney,5300000
Taipei,2640000
Tokyo,37390000
Toronto,2790000
Vienna,1980000
