Rank,Country,GDP,Population,Internet,Market_Score,Priority,Estimated_Annual_Sales_M,Confidence,Inflation,ExchangeRate
1,belgium,56614.56795,2150300,95.7758,5,Medium,189.0349374748776,High (GDP within known range),3.143491365,0.923889546
2,denmark,71026.48323,1409680,99.7692,5,Medium,167.35747168590015,High (GDP within known range),1.372200498,6.894481417
3,sweden,57117.48774,1730000,95.5293,5,Medium,151.8287907659009,High (GDP within known range),2.835816582,10.56763643
4,israel,54176.68444,1020000,88.1824,5,Medium,84.99834952121938,High (GDP within known range),3.074808898,3.69971965
5,luxembourg,137781.6817,138000,98.7606,5,Medium,39.89477496943086,Medium (GDP outside historical range),2.0511327,0.923889546
6,saudi arabia,35121.66287,7950000,100.0,4,Low,719.1441919964589,High (GDP within known range),1.687921124,3.75
7,argentina,13969.78366,15890600,89.6672,4,Low,423.15285210139456,High (GDP within known range),219.883929,914.6948833
8,russian federation,14889.01855,12750000,94.365,4,Low,334.8532685712597,High (GDP within known range),8.434864105,92.5524
9,peru,8452.371671,11600000,81.9571,4,Low,259.7870852844801,High (GDP within known range),2.007707394,3.7525
10,portugal,29292.2421,3010000,88.487,4,Low,236.67544723481222,High (GDP within known range),2.416131878,0.923889546
11,greece,24626.14819,3150000,86.2697,4,Low,141.91027127136178,High (GDP within known range),2.741490458,0.923889546
12,poland,25103.56566,1810000,88.585,4,Low,112.6740192770697,High (GDP within known range),3.784260075,3.980783333
13,czechia,31823.30783,1335350,87.6878,4,Low,110.8787091192835,High (GDP within known range),2.435312024,23.21683333
14,hungary,23292.32639,1780000,93.779,4,Low,69.5254707457808,High (GDP within known range),3.703703704,365.6908333
15,romania,20080.20962,1800000,91.2905,4,Low,68.26002628574837,High (GDP within known range),5.721405744,4.598375
16,oman,20285.22729,1710000,95.2517,4,Low,66.66506677410833,High (GDP within known range),0.593589236,0.3845
17,uruguay,23906.5133,1390000,91.9911,4,Low,65.24990753123899,High (GDP within known range),4.849143666,40.2127875
18,bahrain,29653.56827,759300,100.0,4,Low,64.66694767255088,High (GDP within known range),0.91963546,0.376
19,estonia,31428.35478,460000,92.238,4,Low,39.45763566234672,High (GDP within known range),3.520560533,0.923889546
20,croatia,24050.43979,805000,83.6324,4,Low,35.56408383087949,High (GDP within known range),2.972004776,0.923889546
21,slovak republic,25992.67485,445000,89.8251,4,Low,35.328309224540945,High (GDP within known range),2.757609094,0.923889546
22,slovenia,34301.03187,290000,90.7636,4,Low,24.61761372034272,High (GDP within known range),1.965626564,0.923889546
23,latvia,23409.08452,610000,92.7076,4,Low,23.648598852633455,High (GDP within known range),1.265798858,0.923889546
24,malaysia,11874.42737,8900000,98.0206,3,Low,223.5830995262419,High (GDP within known range),1.834100204,4.576427911
25,turkiye,15892.71573,5500000,87.3079,3,Low,202.6932090968804,High (GDP within known range),58.50645073,32.80586144
26,brazil,10310.54888,5040700,84.4635,3,Low,115.03289983622548,High (GDP within known range),4.367464077,5.388934906
27,dominican republic,10875.66184,3680000,91.0022,3,Low,88.0644268743752,High (GDP within known range),3.30223339,59.56513333
28,belarus,8317.633999,2075900,94.2618,3,Low,50.82584189493449,High (GDP within known range),5.785319104,3.246191667
29,bulgaria,17596.01737,1290000,82.439,3,Low,45.85498832949418,High (GDP within known range),2.44651943,1.807841667
30,kazakhstan,14154.6325,1410000,93.3917,3,Low,38.5483396016641,High (GDP within known range),8.839438975,468.9625
31,serbia,13679.2066,1410000,87.6907,3,Low,37.01572590038929,High (GDP within known range),4.670529749,108.2077417
32,paraguay,6416.09709,535000,81.5781,3,Low,11.94714675369964,Medium (GDP outside historical range),3.835402717,7560.247588
33,bosnia and herzegovina,9358.78769,345000,86.1009,3,Low,7.969056348668663,High (GDP within known range),1.692127336,1.807563562
34,montenegro,13263.32813,185000,88.8826,3,Low,4.360601222555842,High (GDP within known range),3.336750093,0.924367447
35,"egypt, arab rep.",3338.473714,22600000,72.2222,2,Very Low,410.94633323135247,Medium (GDP outside historical range),28.27058993,45.29926
36,indonesia,4925.430488,11400000,72.7808,2,Very Low,237.55387313456708,Medium (GDP outside historical range),2.181512736,15855.44829
37,viet nam,4717.290287,5600000,84.15,2,Very Low,127.49862745956234,Medium (GDP outside historical range),3.621092739,24164.88583
38,ecuador,6874.70574,2050000,77.1727,2,Very Low,44.246055369348944,High (GDP within known range),1.547325156,1.0
39,kenya,2132.434521,5650000,34.9762,0,Very Low,180.1831862611058,Medium (GDP outside historical range),4.489788542,134.8224833
40,uganda,1077.912785,4200000,8.94983,0,Very Low,92.91810751381483,Medium (GDP outside historical range),3.323380671,3757.262535
