city,sales_amount_realistic,Population,current_stores,gdp_per_capita,internet_usage_pct,ideal_total,raw_gap,new_stores_to_open,penetration,expansion_priority
Abu Dhabi,61517763.565204576,1590000,1,45802.864804287834,100.0,1,0,0,38.69041733660665,0
Amsterdam,55541450.803248525,921000,1,61146.2119844,93.21653589452544,1,0,0,60.30559262024813,0
Bangkok,214112640.00363383,11230000,3,7097.811619317158,86.28118108766995,6,3,3,19.066130009228303,0
Barcelona,91979854.45325291,1620000,1,31430.89120899134,94.56159990062464,1,0,0,56.77768793410674,0
Beijing,140448498.17273185,21890000,2,12547.197644166841,80.27228814884303,11,9,3,6.41610316001516,0
Berlin,78386418.90034647,3755000,1,51815.29231810245,91.77125804776739,2,1,1,20.87521142485925,1
Bogota,119762941.49596316,8050000,2,6636.860428097508,73.24194861474356,5,3,3,14.87738403676561,0
Bondi,76026987.36290891,22750,1,61343.81641079947,96.4439195399508,1,0,0,3341.8455983696226,0
Brisbane,57010572.21066928,2630000,1,61371.45086006243,96.44659207199793,2,1,1,21.677023654246874,1
Brooklyn,78190135.09828056,2560000,1,76373.90773459616,91.74778777148347,2,1,1,30.543021522765844,1
Burnaby,71087434.00731376,250000,1,52163.23854554356,93.5376738565042,1,0,0,284.34973602925504,0
Cheltenham,102969438.21481386,118800,1,61349.452995364656,96.44352449287405,1,0,0,866.7461129193085,0
Chengdu,46711326.509883426,16500000,1,12546.624516383325,80.23198133465011,9,8,3,2.83098948544748,0
Chicago,148979870.89162403,2665000,2,76395.97809970619,91.74113636815125,2,0,0,55.90239057847056,0
Cologne,76910070.08059834,1085000,1,51809.99362768496,91.76576129143886,1,0,0,70.88485721714133,0
Costa Mesa,62284018.07025565,110000,1,76275.45745217784,91.73948980343252,1,0,0,566.2183460932332,0
Cupertino,66537436.01696123,60000,1,76410.75725999859,91.7562644559521,1,0,0,1108.9572669493539,0
Dubai,245888438.14350998,3600000,4,45748.664049078165,100.0,2,-2,0,68.30234392875278,0
Fukuoka,80179984.18964286,1640000,1,36044.847365910035,86.23796581197372,1,0,0,48.890234261977355,0
Glendale,60886545.85914272,189000,1,76399.13076771428,91.75699649771136,1,0,0,322.1510362917604,0
Hong Kong,60929106.76303733,7330000,1,12556.158909024216,80.39705727181544,4,3,3,8.312292873538517,0
Honolulu,87193552.55761059,345000,1,76455.03538941235,91.74807756642237,1,0,0,252.7349349495959,0
Kumamoto,56892643.4201279,733000,1,36138.27012690586,86.2845312738244,1,0,0,77.61615746265743,0
Kyoto,77613943.58160062,1445000,1,36084.43457832718,86.27081485655381,1,0,0,53.712071682768595,0
London,296879570.6769757,8980000,4,47042.404602095885,95.90075112651647,5,1,1,33.0600858214895,0
Los Angeles,158685225.4120319,3820000,2,76322.87527939884,91.73693371861,2,0,0,41.54063492461568,1
Macau,72083161.08024576,685000,1,12556.691298545442,80.38989154831036,1,0,0,105.23089208795002,0
Melbourne,169633513.23296311,5230000,3,61315.018605209894,96.44038962418968,3,0,0,32.43470616309046,1
Mexico City,211405393.38334918,22150000,3,11706.079322278923,76.7326694662319,12,9,3,9.544261552295675,0
Milan,71018169.76017289,1370000,1,36775.83873950629,81.35238115175764,1,0,0,51.83808011691452,0
Montreal,74330298.46899492,1780000,1,52256.001633997206,93.55232079441576,1,0,0,41.75859464550276,0
Munich,77062516.60442011,1485000,1,51804.18520958085,91.75972408902618,1,0,0,51.89395057536708,0
New York,190013344.6314419,8258000,3,76267.91726342637,91.73729352577509,5,2,2,23.00960821402784,1
Ottawa,86004367.64319614,1015000,1,52278.30121768267,93.55363000623656,1,0,0,84.73336713615383,0
Paris,280038465.5826013,2100000,4,42971.84850294317,86.33079500609443,2,-2,0,133.3516502774292,0
Philadelphia,80601734.97133662,1550000,1,76341.03746010413,91.7425963149797,1,0,0,52.00111933634621,0
Portland,57247697.685475245,635000,1,76349.61788908187,91.7327937467019,1,0,0,90.15385462279566,0
Rome,61815698.26973612,2860000,1,36801.423475065945,81.3949770581702,2,1,1,21.613880513893747,0
San Francisco,70863829.29360582,808000,1,76458.09642274602,91.74577999788448,1,0,0,87.70275902673987,0
Seoul,126811837.61625874,9650000,2,33265.28813478785,97.31038261688107,5,3,3,13.141123069042356,0
Shanghai,166941078.68415782,29210000,2,12543.701190765814,80.37692304787215,15,13,3,5.715202967619234,0
Singapore,167936366.72763124,5920000,3,81521.10850724041,94.70457679220932,3,0,0,28.367629514802573,1
Sydney,81677929.24703126,5300000,1,61281.06133130001,96.43660022103563,3,2,2,15.410930046609671,1
Taipei,71718699.19934914,2640000,1,32748.880036183982,91.99693827847749,2,1,1,27.1661739391474,0
Tokyo,220291039.91228318,37390000,3,36074.459365066294,86.27592767212688,19,16,3,5.891710080563872,0
Toronto,132982000.49869408,2790000,2,52206.20282858993,93.54362817581044,2,0,0,47.66379946189752,1
Vienna,74307679.4031198,1980000,1,53484.23711839307,92.79457654294804,1,0,0,37.52913101167667,0
